id,quantity,isbn,price,amazon price
Chegg,3,9780030968358,38.96,78.0
Chegg,6,9780060000387,40.69,59.43
Chegg,5,9780060000448,21.58,25.0
Chegg,9,9780061997228,6.33,3.5
Chegg,5,9780062270467,4.15,14.0
Chegg,106,9780062397348,7.9,10.5
Chegg,6,9780070109100,65.65,207.9
Chegg,34,9780071390118,34.1,55.83
Chegg,4,9780071624947,14.62,25.17
Cash4Books,0,9780787946920,3.31,13.94
Cash4Books,0,9780133921465,30.41,75.54
Cash4Books,0,9780073522975,22.57,49.74
Cash4Books,0,9781937557102,4.47,34.74
Cash4Books,0,9780073511214,116.38,125.0
Cash4Books,0,9781610724258,15.56,29.99
Cash4Books,0,9781259420474,85.05,108.0
Cash4Books,0,9781585422265,0.57,3.99
Cash4Books,0,9780803617049,11.84,40.95
Cash4Books,0,9781606239513,7.94,21.62
Cash4Books,0,9781938248016,5.68,12.97
Cash4Books,0,9780976423331,6.54,22.47
Cash4Books,0,9781111831677,5.0,16.14
Cash4Books,0,9780132613262,33.0,68.84
Cash4Books,0,9780131367104,8.21,38.98
Cash4Books,0,9781111344436,52.08,111.09
Cash4Books,0,9780061725906,1.01,5.51
Cash4Books,0,9780674064485,3.91,10.15
Cash4Books,0,9780787941185,2.46,9.91
Cash4Books,0,9781462516803,7.19,18.75
Cash4Books,0,9781934432150,0.95,19.03
Cash4Books,0,9781572246959,1.23,3.95
Cash4Books,0,9781933578170,15.59,34.49
Cash4Books,0,9780812988406,3.9,10.75
Cash4Books,0,9781433805615,7.5,14.99
Cash4Books,0,9780137060764,0.59,8.1
Cash4Books,0,9780077770402,30.74,58.0
Cash4Books,0,9780123742551,4.94,14.17
Cash4Books,0,9781612192123,3.58,0.0
Cash4Books,0,9781571107817,5.14,14.3
Cash4Books,0,9780137048373,0.51,6.49
Cash4Books,0,9780137057009,11.04,18.95
Cash4Books,0,9781305627215,18.59,38.91
Cash4Books,0,9780078034756,3.85,22.95
Cash4Books,0,9781618531612,13.05,32.3
Cash4Books,0,9780321945525,19.95,50.0
Cash4Books,0,9781111344436,52.08,111.09
Cash4Books,0,9781118743164,47.01,68.68
Cash4Books,0,9780073377797,10.51,41.33
Cash4Books,0,9780073523910,26.94,51.94
Cash4Books,0,9781133189749,6.54,21.95
Cash4Books,0,9781457636912,1.86,17.99
Cash4Books,0,9781259545474,71.82,81.86
Cash4Books,0,9781508923671,5.78,13.99
Cash4Books,0,9780321928924,70.15,140.86
Cash4Books,0,9780205214600,47.75,91.14
Cash4Books,0,9781292153537,14.78,41.0
Cash4Books,0,9781581107487,140.0,238.18
Cash4Books,0,9780133843750,50.65,84.9
Cash4Books,0,9781604681963,4.82,11.79
Cash4Books,0,9781935726197,6.41,16.7
Cash4Books,0,9781564775009,3.94,26.14
Cash4Books,0,9781491949306,2.92,11.99
Cash4Books,0,9780984782857,4.94,21.09
Cash4Books,0,9780262034579,3.1,10.17
Cash4Books,0,9780307887894,2.57,9.95
Cash4Books,0,9781422144114,4.93,15.51
Cash4Books,0,9781119145677,0.93,13.0
Cash4Books,0,9781491939109,3.85,17.0
Cash4Books,0,9781936572199,14.59,35.17
Cash4Books,0,9780826102416,9.12,21.95
Cash4Books,0,9780133850758,32.3,70.03
Cash4Books,0,9781452277691,4.38,14.47
Cash4Books,0,9780134011899,96.35,170.0
Cash4Books,0,9780134484143,98.45,217.65
Cash4Books,0,9780323222419,13.48,52.15
Cash4Books,0,9780071497053,12.53,35.99
Cash4Books,0,9780323185776,16.59,38.0
Cash4Books,0,9780323113434,6.79,18.0
Cash4Books,0,9781608317776,14.54,52.92
Cash4Books,0,9780323067157,16.05,49.95
Cash4Books,0,9781437702606,7.78,0.0
Cash4Books,0,9780321534057,1.39,0.0
Cash4Books,0,9780133066739,30.71,73.99
Cash4Books,0,9781847305251,8.11,0.0
Cash4Books,0,9780691020662,5.36,14.79
Cash4Books,0,9781500666040,3.07,16.0
Cash4Books,0,9780072562606,31.84,40.3
Cash4Books,0,9781284107029,120.04,137.72
Cash4Books,0,9780316013697,1.21,1.49
Cash4Books,0,9781138887046,14.83,34.43
Cash4Books,0,9780807749623,3.5,3.39
Cash4Books,0,9780735598973,8.07,35.0
Cash4Books,0,9781611631104,9.74,25.87
Cash4Books,0,9781609139551,7.63,18.0
Cash4Books,0,9781455745913,14.13,76.2
Cash4Books,0,9780803625747,17.52,38.15
Cash4Books,0,9780803625792,12.12,57.64
Cash4Books,0,9780803623620,9.13,45.76
Cash4Books,0,9780071737692,7.41,38.06
Cash4Books,0,9780071796774,5.35,12.99
Cash4Books,0,9780071701204,0.68,5.09
Cash4Books,0,9781455758821,16.39,46.31
Cash4Books,0,9781455706150,24.45,64.91
Cash4Books,0,9781449652685,15.64,37.51
Cash4Books,0,9781887896030,5.79,16.28
Cash4Books,0,9780205854592,5.54,49.95
Cash4Books,0,9781118230718,42.71,48.13
Cash4Books,0,9781455753581,9.1,37.0
Cash4Books,0,9780077315542,14.18,36.39
Cash4Books,0,9780078035241,19.11,35.98
Cash4Books,0,9781515039419,4.89,12.88
Cash4Books,0,9780077726676,41.6,45.0
Cash4Books,0,9781133049708,0.92,9.0
Cash4Books,0,9780813344645,4.0,12.62
Cash4Books,0,9780205742011,3.69,10.39
Cash4Books,0,9780470057247,12.22,40.49
Cash4Books,0,9780078036828,8.94,23.48
Cash4Books,0,9781133629658,18.1,44.0
Cash4Books,0,9781305633827,76.01,154.83
Cash4Books,0,9781138910829,13.17,30.31
Cash4Books,0,9781483381763,17.35,53.61
Cash4Books,0,9780321951663,18.81,47.0
Cash4Books,0,9780807748541,7.5,18.03
Cash4Books,0,9781628102055,97.03,115.0
Cash4Books,0,9781455733064,23.84,63.96
Cash4Books,0,9781412936293,1.7,7.88
Cash4Books,0,9781118968154,5.04,14.94
Cash4Books,0,9780806144740,7.26,20.95
Cash4Books,0,9780875484433,0.77,4.36
Cash4Books,0,9780807753491,7.74,16.45
Cash4Books,0,9780826125279,16.67,30.99
Cash4Books,0,9780316182386,1.57,5.19
Cash4Books,0,9780078028960,16.15,36.66
Cash4Books,0,9780985890223,5.34,17.48
Cash4Books,0,9780674052871,5.51,19.13
Cash4Books,0,9781451190311,16.9,32.8
Cash4Books,0,9780064603065,1.01,0.99
Cash4Books,0,9781111309107,33.02,53.59
Cash4Books,0,9781401897253,22.81,68.63
Cash4Books,0,9781435469556,16.22,78.09
Cash4Books,0,9781597560825,17.99,41.42
Cash4Books,0,9780890799819,8.71,40.0
Cash4Books,0,9781483319841,14.24,34.0
Cash4Books,0,9780199861040,6.77,18.04
Cash4Books,0,9780133436501,33.41,78.71
Cash4Books,0,9781438952932,3.15,9.92
Cash4Books,0,9781565335752,9.9,19.41
Cash4Books,0,9781455776269,24.69,65.0
Cash4Books,0,9781259277160,91.04,173.0
Cash4Books,0,9781133103950,6.22,25.19
